state,year,week,date2,deaths,date,month
Alabama,2018,40,10/06/2018,945,2018-10-06T04:00:00Z,10
Alabama,2018,41,10/13/2018,943,2018-10-13T04:00:00Z,10
Alabama,2018,42,10/20/2018,971,2018-10-20T04:00:00Z,10
Alabama,2018,43,10/27/2018,993,2018-10-27T04:00:00Z,10
Alabama,2018,44,11/03/2018,927,2018-11-03T04:00:00Z,11
Alabama,2018,45,11/10/2018,963,2018-11-10T05:00:00Z,11
Alabama,2018,46,11/17/2018,1055,2018-11-17T05:00:00Z,11
Alabama,2018,47,11/24/2018,1009,2018-11-24T05:00:00Z,11
Alabama,2018,48,12/01/2018,1050,2018-12-01T05:00:00Z,12
Alabama,2018,49,12/08/2018,1044,2018-12-08T05:00:00Z,12
Alabama,2018,50,12/15/2018,1053,2018-12-15T05:00:00Z,12
Alabama,2018,51,12/22/2018,1105,2018-12-22T05:00:00Z,12
Alabama,2018,52,12/29/2018,1084,2018-12-29T05:00:00Z,12
Alaska,2014,1,01/04/2014,53,2014-01-04T05:00:00Z,1
Alaska,2014,2,01/11/2014,85,2014-01-11T05:00:00Z,1
Alaska,2014,3,01/18/2014,80,2014-01-18T05:00:00Z,1
Alaska,2014,4,01/25/2014,83,2014-01-25T05:00:00Z,1
Alaska,2014,5,02/01/2014,57,2014-02-01T05:00:00Z,2
Alaska,2014,6,02/08/2014,70,2014-02-08T05:00:00Z,2
Alaska,2014,7,02/15/2014,73,2014-02-15T05:00:00Z,2
Alaska,2014,8,02/22/2014,83,2014-02-22T05:00:00Z,2
Alaska,2014,9,03/01/2014,56,2014-03-01T05:00:00Z,3
Alaska,2014,10,03/08/2014,63,2014-03-08T05:00:00Z,3
Alaska,2014,11,03/15/2014,71,2014-03-15T04:00:00Z,3
Alaska,2014,12,03/22/2014,68,2014-03-22T04:00:00Z,3
Alaska,2014,13,03/29/2014,81,2014-03-29T04:00:00Z,3
Alaska,2014,14,04/05/2014,71,2014-04-05T04:00:00Z,4
Alaska,2014,15,04/12/2014,70,2014-04-12T04:00:00Z,4
Alaska,2014,16,04/19/2014,66,2014-04-19T04:00:00Z,4
Alaska,2014,17,04/26/2014,65,2014-04-26T04:00:00Z,4
Alaska,2014,18,05/03/2014,71,2014-05-03T04:00:00Z,5
Alaska,2014,19,05/10/2014,81,2014-05-10T04:00:00Z,5
Alaska,2014,20,05/17/2014,68,2014-05-17T04:00:00Z,5
Alaska,2014,21,05/24/2014,78,2014-05-24T04:00:00Z,5
Alaska,2014,22,05/31/2014,69,2014-05-31T04:00:00Z,5
Alaska,2014,23,06/07/2014,66,2014-06-07T04:00:00Z,6
Alaska,2014,24,06/14/2014,75,2014-06-14T04:00:00Z,6
Alaska,2014,25,06/21/2014,73,2014-06-21T04:00:00Z,6
Alaska,2014,26,06/28/2014,101,2014-06-28T04:00:00Z,6
Alaska,2014,27,07/05/2014,82,2014-07-05T04:00:00Z,7
Alaska,2014,28,07/12/2014,75,2014-07-12T04:00:00Z,7
Alaska,2014,29,07/19/2014,80,2014-07-19T04:00:00Z,7
Alaska,2014,30,07/26/2014,83,2014-07-26T04:00:00Z,7
Alaska,2014,31,08/02/2014,80,2014-08-02T04:00:00Z,8
Alaska,2014,32,08/09/2014,70,2014-08-09T04:00:00Z,8
Alaska,2014,33,08/16/2014,70,2014-08-16T04:00:00Z,8
Alaska,2014,34,08/23/2014,88,2014-08-23T04:00:00Z,8
Alaska,2014,35,08/30/2014,74,2014-08-30T04:00:00Z,8
Alaska,2014,36,09/06/2014,73,2014-09-06T04:00:00Z,9
Alaska,2014,37,09/13/2014,94,2014-09-13T04:00:00Z,9
Alaska,2014,38,09/20/2014,68,2014-09-20T04:00:00Z,9
Alaska,2014,39,09/27/2014,76,2014-09-27T04:00:00Z,9
Alaska,2014,40,10/04/2014,75,2014-10-04T04:00:00Z,10
Alaska,2014,41,10/11/2014,90,2014-10-11T04:00:00Z,10
Alaska,2014,42,10/18/2014,77,2014-10-18T04:00:00Z,10
Alaska,2014,43,10/25/2014,86,2014-10-25T04:00:00Z,10
Alaska,2014,44,11/01/2014,85,2014-11-01T04:00:00Z,11
Alaska,2014,45,11/08/2014,80,2014-11-08T05:00:00Z,11
Alaska,2014,46,11/15/2014,89,2014-11-15T05:00:00Z,11
Alaska,2014,47,11/22/2014,81,2014-11-22T05:00:00Z,11
Alaska,2014,48,11/29/2014,89,2014-11-29T05:00:00Z,11
Alaska,2014,49,12/06/2014,87,2014-12-06T05:00:00Z,12
Alaska,2014,50,12/13/2014,81,2014-12-13T05:00:00Z,12
Alaska,2014,51,12/20/2014,85,2014-12-20T05:00:00Z,12
Alaska,2014,52,12/27/2014,82,2014-12-27T05:00:00Z,12
Alaska,2014,53,01/03/2015,84,2015-01-03T05:00:00Z,1
Alaska,2015,1,01/10/2015,75,2015-01-10T05:00:00Z,1
Alaska,2015,2,01/17/2015,80,2015-01-17T05:00:00Z,1
Alaska,2015,3,01/24/2015,84,2015-01-24T05:00:00Z,1
Alaska,2015,4,01/31/2015,84,2015-01-31T05:00:00Z,1
Alaska,2015,5,02/07/2015,85,2015-02-07T05:00:00Z,2
Alaska,2015,6,02/14/2015,81,2015-02-14T05:00:00Z,2
Alaska,2015,7,02/21/2015,75,2015-02-21T05:00:00Z,2
Alaska,2015,8,02/28/2015,90,2015-02-28T05:00:00Z,2
Alaska,2015,9,03/07/2015,74,2015-03-07T05:00:00Z,3
Alaska,2015,10,03/14/2015,79,2015-03-14T04:00:00Z,3
Alaska,2015,11,03/21/2015,66,2015-03-21T04:00:00Z,3
Alaska,2015,12,03/28/2015,81,2015-03-28T04:00:00Z,3
Alaska,2015,13,04/04/2015,80,2015-04-04T04:00:00Z,4
Alaska,2015,14,04/11/2015,71,2015-04-11T04:00:00Z,4
Alaska,2015,15,04/18/2015,81,2015-04-18T04:00:00Z,4
Alaska,2015,16,04/25/2015,69,2015-04-25T04:00:00Z,4
Alaska,2015,17,05/02/2015,81,2015-05-02T04:00:00Z,5
Alaska,2015,18,05/09/2015,72,2015-05-09T04:00:00Z,5
Alaska,2015,19,05/16/2015,124,2015-05-16T04:00:00Z,5
Alaska,2015,20,05/23/2015,80,2015-05-23T04:00:00Z,5
Alaska,2015,21,05/30/2015,80,2015-05-30T04:00:00Z,5
Alaska,2015,22,06/06/2015,78,2015-06-06T04:00:00Z,6
Alaska,2015,23,06/13/2015,77,2015-06-13T04:00:00Z,6
Alaska,2015,24,06/20/2015,77,2015-06-20T04:00:00Z,6
Alaska,2015,25,06/27/2015,94,2015-06-27T04:00:00Z,6
Alaska,2015,26,07/04/2015,77,2015-07-04T04:00:00Z,7
Alaska,2015,27,07/11/2015,80,2015-07-11T04:00:00Z,7
Alaska,2015,28,07/18/2015,84,2015-07-18T04:00:00Z,7
Alaska,2015,29,07/25/2015,98,2015-07-25T04:00:00Z,7
Alaska,2015,30,08/01/2015,68,2015-08-01T04:00:00Z,8
Alaska,2015,31,08/08/2015,70,2015-08-08T04:00:00Z,8
Alaska,2015,32,08/15/2015,59,2015-08-15T04:00:00Z,8
Alaska,2015,33,08/22/2015,80,2015-08-22T04:00:00Z,8
Alaska,2015,34,08/29/2015,99,2015-08-29T04:00:00Z,8
Alaska,2015,35,09/05/2015,83,2015-09-05T04:00:00Z,9
Alaska,2015,36,09/12/2015,102,2015-09-12T04:00:00Z,9
Alaska,2015,37,09/19/2015,79,2015-09-19T04:00:00Z,9
Alaska,2015,38,09/26/2015,73,2015-09-26T04:00:00Z,9
Alaska,2015,39,10/03/2015,74,2015-10-03T04:00:00Z,10
Alaska,2015,40,10/10/2015,91,2015-10-10T04:00:00Z,10
Alaska,2015,41,10/17/2015,93,2015-10-17T04:00:00Z,10
Alaska,2015,42,10/24/2015,75,2015-10-24T04:00:00Z,10
Alaska,2015,43,10/31/2015,67,2015-10-31T04:00:00Z,10
Alaska,2015,44,11/07/2015,78,2015-11-07T05:00:00Z,11
Alaska,2015,45,11/14/2015,70,2015-11-14T05:00:00Z,11
Alaska,2015,46,11/21/2015,83,2015-11-21T05:00:00Z,11
Alaska,2015,47,11/28/2015,84,2015-11-28T05:00:00Z,11
Alaska,2015,48,12/05/2015,77,2015-12-05T05:00:00Z,12
Alaska,2015,49,12/12/2015,75,2015-12-12T05:00:00Z,12
Alaska,2015,50,12/19/2015,72,2015-12-19T05:00:00Z,12
Alaska,2015,51,12/26/2015,80,2015-12-26T05:00:00Z,12
